ORDERID,PRODUCTID,CUSTOMERID,EMPLOYEEID,ORDERPERIODID,REQUIREDPERIODID,SHIPPEDPERIODID,SHIPPERID,UNITPRICE,QUANTITY,DISCOUNT,UNITSALES,NETSALES,UNITCOST,COST
502,19,104,14,1555,1568,1555,5,500,20,18,10000,8200,375,7500
502,50,104,14,1555,1568,1555,5,500,226,18,113000,92660,375,84750
522,19,119,29,1553,1566,1553,2,500,19,18,9500,7790,375,7125
526,27,82,22,1562,1575,1570,10,500,37,18,18500,15170,375,13875
529,19,120,30,1569,1582,1569,1,500,38,18,19000,15580,375,14250
531,19,67,7,1565,1578,1565,9,500,28,18,14000,11480,375,10500
533,19,103,13,1565,1578,1565,10,500,28,18,14000,11480,375,10500
546,34,53,23,1573,1586,1573,10,500,143,18,71500,58630,375,53625
549,19,102,12,1559,1572,1559,4,500,33,18,16500,13530,375,12375
563,19,50,20,1572,1585,1572,1,500,21,18,10500,8610,375,7875
564,19,60,30,1573,1586,1573,11,500,23,18,11500,9430,375,8625
572,50,42,12,1564,1577,1572,8,500,337,18,168500,138170,375,126375
579,27,118,28,1562,1575,1562,10,500,62,18,31000,25420,375,23250
582,19,26,26,1564,1577,1564,3,500,26,18,13000,10660,375,9750
584,6,62,2,1580,1593,1580,10,500,327,18,163500,134070,375,122625
596,50,74,14,1582,1595,1582,10,500,329,18,164500,134890,375,123375
603,19,37,7,1578,1591,1578,2,500,31,18,15500,12710,375,11625
606,19,15,15,1570,1583,1570,10,500,28,18,14000,11480,375,10500
606,50,15,15,1570,1583,1570,10,500,309,18,154500,126690,375,115875
607,50,32,2,1580,1593,1586,4,500,585,18,292500,239850,375,219375
611,19,44,14,1581,1594,1584,4,500,32,18,16000,13120,375,12000
623,19,18,18,1572,1585,1572,7,500,20,18,10000,8200,375,7500
624,19,23,23,1578,1591,1578,10,500,26,18,13000,10660,375,9750
628,19,4,4,1574,1587,1574,9,500,48,18,24000,19680,375,18000
632,19,26,26,1587,1600,1587,9,500,27,18,13500,11070,375,10125
634,19,55,25,1580,1593,1584,7,500,31,18,15500,12710,375,11625
637,54,67,7,1588,1601,1588,10,500,301,18,150500,123410,375,112875
644,19,71,11,1578,1591,1578,11,500,43,18,21500,17630,375,16125
653,54,9,9,1580,1593,1586,10,500,315,18,157500,129150,375,118125
658,19,88,28,1588,1601,1588,5,500,25,18,12500,10250,375,9375
661,54,115,25,1584,1597,1586,10,500,203,18,101500,83230,375,76125
669,19,105,15,1576,1589,1576,10,500,24,18,12000,9840,375,9000
669,54,105,15,1576,1589,1576,10,500,259,18,129500,106190,375,97125
676,19,69,9,1577,1590,1577,4,500,19,18,9500,7790,375,7125
689,50,59,29,1598,1611,1598,4,500,418,18,209000,171380,375,156750
690,19,65,5,1587,1600,1587,10,500,59,18,29500,24190,375,22125
691,50,75,15,1594,1607,1594,9,500,443,18,221500,181630,375,166125
693,19,108,18,1598,1611,1598,6,500,24,18,12000,9840,375,9000
696,19,49,19,1590,1603,1590,2,500,35,18,17500,14350,375,13125
704,50,5,5,1595,1608,1595,1,500,664,18,332000,272240,375,249000
709,19,106,16,1597,1610,1597,5,500,30,18,15000,12300,375,11250
714,19,82,22,1602,1615,1602,1,500,22,18,11000,9020,375,8250
718,50,29,29,1597,1610,1597,3,500,230,18,115000,94300,375,86250
721,19,30,30,1598,1611,1598,2,500,21,18,10500,8610,375,7875
722,54,77,17,1586,1599,1586,10,500,221,18,110500,90610,375,82875
728,19,117,27,1596,1609,1596,4,500,38,18,19000,15580,375,14250
740,50,54,24,1597,1610,1597,11,500,205,18,102500,84050,375,76875
742,6,44,14,1598,1611,1598,10,500,83,18,41500,34030,375,31125
748,19,16,16,1591,1604,1591,4,500,22,18,11000,9020,375,8250
752,50,32,2,1598,1611,1598,7,500,619,18,309500,253790,375,232125
758,19,79,19,1601,1614,1601,3,500,33,18,16500,13530,375,12375
