PRODUCTID,CATEGORYID,LINEID,PRODUCTNAME,PRODUCTDESCRIPTION,CATEGORYNAME,CATEGORYDESCRIPTION,LINENAME,LINEDESCRIPTION,DISCONTINUED
1,1,1,Pumpit Tennis Shoes,Pumpit Tennis Shoes,Tennis,Tennis,Sports,Sports,0
2,1,1,Slamit Tennis Racket,Slamit Tennis Racket,Tennis,Tennis,Sports,Sports,0
3,1,1,SuperBounce Tennis Balls,SuperBounce Tennis Balls,Tennis,Tennis,Sports,Sports,0
4,1,1,Tennis cap,Tennis cap,Tennis,Tennis,Sports,Sports,1
5,2,1,Berta Golf Clubs,Berta Golf Clubs,Golf,Golf,Sports,Sports,0
6,2,1,Clone Golf Clubs,Clone Golf Clubs,Golf,Golf,Sports,Sports,0
7,2,1,Tees,Tees,Golf,Golf,Sports,Sports,0
8,2,1,Golf Balls,Golf Balls,Golf,Golf,Sports,Sports,0
9,3,1,Tushuss Skis,Tushuss Skis,Ski,Ski,Sports,Sports,0
10,3,1,No Name Skis,No Name Skis,Ski,Ski,Sports,Sports,0
11,3,1,Ski Mask,Ski Mask,Ski,Ski,Sports,Sports,0
12,3,1,Ski Boots,Ski Boots,Ski,Ski,Sports,Sports,0
13,4,2,Pan-O Flat TVs,Pan-O Flat TVs,Home Theater,Home Theater,Electronics,Electronics,0
14,4,2,Pan-O Flat TVs,Pan-O Flat TVs,Home Theater,Home Theater,Electronics,Electronics,0
15,4,2,Pan-O Flat TVs,Pan-O Flat TVs,Home Theater,Home Theater,Electronics,Electronics,0
16,4,2,Pan-O Flat TVs,Pan-O Flat TVs,Home Theater,Home Theater,Electronics,Electronics,0
17,4,2,Sino CRT TVs,Sino CRT TVs,Home Theater,Home Theater,Electronics,Electronics,0
18,4,2,Sino CRT TVs,Sino CRT TVs,Home Theater,Home Theater,Electronics,Electronics,0
19,4,2,Sino CRT TVs,Sino CRT TVs,Home Theater,Home Theater,Electronics,Electronics,0
20,4,2,Speaker System,Speaker System,Home Theater,Home Theater,Electronics,Electronics,0
21,5,2,PC Systems,PC Systems,Computer,Computer,Electronics,Electronics,0
22,5,2,Apple Systems,Apple Systems,Computer,Computer,Electronics,Electronics,0
23,5,2,Accessories,Accessories,Computer,Computer,Electronics,Electronics,0
24,6,2,Playstation,Playstation,Consoles,Consoles,Electronics,Electronics,0
25,6,2,Gamecube,Gamecube,Consoles,Consoles,Electronics,Electronics,0
26,6,2,XBOX,XBOX,Consoles,Consoles,Electronics,Electronics,0
